,endTime,year,month,day,hour,artist,album,track,genres,minutesPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1084,2021-07-26 21:13:00,2021,7,26,21,Canserbero,Guía Para la Acción,El Mundo ya Se Acabó,"['boom bap espanol', 'rap conciencia', 'venezuelan hip hop']",3.63,7DMePP45IaGHRVFYDmmhqU,0.605,0.847,1,-1.593,1,0.334,0.12,0.0,0.323,0.683,93.305
1085,2021-07-29 14:16:00,2021,7,29,14,Canserbero,Guía Para la Acción,El Mundo ya Se Acabó,"['boom bap espanol', 'rap conciencia', 'venezuelan hip hop']",0.0,7DMePP45IaGHRVFYDmmhqU,0.605,0.847,1,-1.593,1,0.334,0.12,0.0,0.323,0.683,93.305
1086,2021-07-29 14:27:00,2021,7,29,14,Canserbero,Guía Para la Acción,El Mundo ya Se Acabó,"['boom bap espanol', 'rap conciencia', 'venezuelan hip hop']",3.63,7DMePP45IaGHRVFYDmmhqU,0.605,0.847,1,-1.593,1,0.334,0.12,0.0,0.323,0.683,93.305
1087,2021-07-29 16:15:00,2021,7,29,16,Canserbero,Guía Para la Acción,El Mundo ya Se Acabó,"['boom bap espanol', 'rap conciencia', 'venezuelan hip hop']",0.11,7DMePP45IaGHRVFYDmmhqU,0.605,0.847,1,-1.593,1,0.334,0.12,0.0,0.323,0.683,93.305
1088,2021-07-29 21:56:00,2021,7,29,21,Canserbero,Guía Para la Acción,El Mundo ya Se Acabó,"['boom bap espanol', 'rap conciencia', 'venezuelan hip hop']",3.63,7DMePP45IaGHRVFYDmmhqU,0.605,0.847,1,-1.593,1,0.334,0.12,0.0,0.323,0.683,93.305
1089,2021-09-06 17:12:00,2021,9,6,17,Canserbero,Guía Para la Acción,El Mundo ya Se Acabó,"['boom bap espanol', 'rap conciencia', 'venezuelan hip hop']",1.07,7DMePP45IaGHRVFYDmmhqU,0.605,0.847,1,-1.593,1,0.334,0.12,0.0,0.323,0.683,93.305
1090,2021-08-09 20:47:00,2021,8,9,20,Sex on Toast,"Oh, Loretta!","Oh, Loretta!",['australian r&b'],0.43,4HqxTpbXpLO1jgKJppk8Gl,0.655,0.554,7,-6.898,1,0.0519,0.347,0.101,0.122,0.696,176.129
1091,2021-08-13 22:48:00,2021,8,13,22,Sex on Toast,"Oh, Loretta!","Oh, Loretta!",['australian r&b'],1.85,4HqxTpbXpLO1jgKJppk8Gl,0.655,0.554,7,-6.898,1,0.0519,0.347,0.101,0.122,0.696,176.129
1092,2021-08-16 13:30:00,2021,8,16,13,Sex on Toast,"Oh, Loretta!","Oh, Loretta!",['australian r&b'],0.05,4HqxTpbXpLO1jgKJppk8Gl,0.655,0.554,7,-6.898,1,0.0519,0.347,0.101,0.122,0.696,176.129
1093,2021-09-21 08:24:00,2021,9,21,8,Sex on Toast,"Oh, Loretta!","Oh, Loretta!",['australian r&b'],1.78,4HqxTpbXpLO1jgKJppk8Gl,0.655,0.554,7,-6.898,1,0.0519,0.347,0.101,0.122,0.696,176.129
1094,2021-09-21 08:25:00,2021,9,21,8,Sex on Toast,"Oh, Loretta!","Oh, Loretta!",['australian r&b'],0.46,4HqxTpbXpLO1jgKJppk8Gl,0.655,0.554,7,-6.898,1,0.0519,0.347,0.101,0.122,0.696,176.129
1095,2021-08-16 12:07:00,2021,8,16,12,Crystal Fighters,Cave Rave,Love Natural,"['alternative dance', 'new rave']",0.04,0L0wnKpZacfTNdZMw417pk,0.656,0.767,6,-7.075,0,0.0488,0.0398,0.0,0.333,0.628,133.028
